,outgoing_txns,incoming_txns,total_eth_sent,avg_eth_sent,total_usd_sent,avg_usd_sent,total_eth_recd,avg_eth_recd,total_usd_recd,avg_usd_recd,active_months,monthly_outgoing_txns,monthly_incoming_txns,monthly_eth_sent,monthly_usd_sent,monthly_eth_recd,monthly_usd_recd,contracts_created,contract_txns_sent,incoming_avg_time_btwn_txns,incoming_std_time_btwn_txns,outgoing_avg_time_btwn_txns,outgoing_std_time_btwn_txns,num_tokens_used,eth_balance
0,5.087733024889797,8.842545405535244,22.935496552575636,6.389589239922604,5702.857759173193,1288.8338737261158,190.26418633893877,23.543833701869886,56830.283581148855,6676.159765136209,13.20029792432788,0.5598256155894059,0.8632537288867957,2.9226813209161118,497.67954931727553,15.322656137714855,4392.961205501089,0.005916559043595406,0.01753563194406896,344962.1185778,501091.24665823206,2694.610020085812,2048.144413666335,8.82690126710274,125.25408560143518
1,51.600704569502184,89.59269378872956,1088.27783040866,22.683255169111774,456722.52172575623,9006.771032862196,1318.22331846671,15.914662862050212,545282.46546681,6177.397684589314,10.161555843506925,5.618117366582064,9.598321902099467,109.6288023038835,45775.012273530505,132.80467734936602,54662.13334384213,0.0017687932445477278,0.00494782234929228,167605.9121595915,327688.22698411177,319524.21847524145,598084.6869954945,12.605993068435346,126.01727098143124
3,15.997602882419244,18.002697742672513,3927.974700244719,253.6987103957739,1624138.9802920194,104594.16679544124,5969.649221263999,344.2513108071396,1850895.977595993,106388.86186370236,13.285262972198444,1.4465563401244053,1.6858809990533647,300.12672745636024,123617.85723657682,455.2926246655237,140890.85361580978,0.007149379496964457,0.02202316415448814,661740.1175061574,1177156.1981198257,1071402.7351902323,1713941.7492492313,14.995803670948428,780.1559361440446
4,10.393283267919415,11.66452903023903,270.51077782273404,27.220617627907295,117404.15425076571,11610.656481908436,488.48869966832757,43.487528811894094,142719.3993670198,12555.089423390638,14.980043641691555,0.8100312767041105,0.9043854782264295,18.60709365916959,7887.554295938979,33.139679996071244,9593.741441984417,0.0045316925700224124,0.011815917830763602,1357283.6872161475,2126855.501934988,1699926.197076147,2480427.551138685,13.484204937525632,151.14143318443035
5,11.022480694485472,164.6816593986876,51.07328445796285,5.414399402201552,21271.296682667038,1996.6256817171559,143.45982389118694,1.2684737130062473,50076.40419908076,310.50682615653875,13.576417517884071,0.9869339290798937,13.304020885709434,4.4728566973348265,1586.6273067362883,10.95692529053932,3724.772294098365,0.0063964983748771905,0.012475783497783931,91759.00639154563,84090.94136623456,1402096.0878432796,1780077.7565837852,9.821069076368714,70.65524160199563
6,7.073894265966892,9.83140875287474,23.255365825976796,3.8357749048141527,8736.515211358053,1288.3407415656634,105.52885816267144,11.441945190021778,30662.190630263067,3199.489001312782,14.700573199994967,0.5711963791810168,0.780521665221497,2.030186653964343,614.9641156776826,7.463462551791434,2103.8470057555796,0.008418007525205443,0.020346381514808456,1592418.297052734,2299231.422587282,1924684.1828425433,2537035.0265095346,11.731188471243202,69.30255372612152
7,64.53356427198271,42.86252718942865,677.2849008593544,13.661454353344638,181259.38278221773,2953.0253604110458,641.457782386348,18.186437932888378,140781.33211817816,3453.4738745604227,16.33468777416058,5.306427845811578,3.6665110786090453,48.34115194794556,11390.287983984419,44.39459105255113,8799.641874101908,5.284327894722963,163.88164951629346,602428.9738929424,1230908.7360369563,430786.6583006848,938819.8225689022,21.229853206714402,148.3953092674944
100,47421.88612873903,15303.559646942034,466289.15996044746,10.749648768280892,178951973.9584018,3775.073507157314,415512.9312520727,30.503647676550315,153686200.24175006,10052.832155316235,13.012757182226592,3690.576865437685,1197.7613613986402,36278.257774733414,13922417.866290208,32328.061455918236,11956747.508159667,0.030281783583160995,0.3864322197644706,1845.1961987092045,17413.808989598343,569.1929210348127,5051.282118354555,46.10764038200314,1814.9852721484745
101,3431.9401520473443,966.9700103969191,9373.564120588977,3.592121550248626,3036420.773263111,892.0497336625102,8034.3955369289015,10.038869687255946,2641064.645429196,2753.890798752607,8.58472366355693,410.65994126322323,120.34669928070983,1119.331016760437,362180.9129053167,963.1675894105623,315063.0814688355,0.004525827572569038,0.028275944198367875,16241.765775895727,60182.717349142215,4678.216923741006,20360.801868232655,13.922655568813331,272.1520562641096
102,358.48430108809987,1897.352574093748,59789.85569547457,169.19961344910593,26512336.648744904,74298.10836546012,66320.98140139201,37.43419943148933,29416216.34215201,15541.324181654387,11.255108270762642,33.23991981555184,174.31720088812887,5403.979237568115,2395927.4347457783,5994.220339718278,2658351.7418015194,0.016187237319187038,0.03524241340454045,11074.461073799506,68109.52189857767,58284.32813677295,172507.7551543412,23.771646599021356,586.4322935462168
